example address,earliest block,latest block,gas used,code length,code chunks,push bytes,PUSH1 zeros,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,9380422,19759705,442980489325,10542,330,54.23%,2.24%,2.17%,0.05%,7,7,7,6
0x8407dc57739bcda7aa53ca6f12f82f9d51c2f21e,11731002,19738390,439387638423,11317,354,28.09%,2.63%,2.92%,0.03%,6,5,5,4
0x0001ed1b35e93c723f92a279aeec585f244b94c2,4151793,19759706,436548859062,51,2,56.86%,7.84%,1.96%,1.96%,2,2,2,1
0x5b9e8728e316bbeb692d22daaab74f6cbf2c4691,4150974,19759706,429817014763,3852,121,30.61%,2.65%,4.44%,0.03%,3,3,3,2
0x514910771af9ca656af840dff83e8264ecf986ca,4281618,19759708,429776634526,3153,99,31.65%,1.59%,3.87%,0.29%,10,9,9,9
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,3154351,19757425,426763744113,6613,207,29.05%,1.19%,3.34%,0,0,0,0,0
0xe66b31678d6c16e9ebf358268a790b763c133750,12660782,19759645,424855748501,7751,243,57.84%,1.11%,3.04%,0.05%,7,8,7,8
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,9041227,19759664,411949027247,20989,656,34.12%,1.34%,2.86%,0.22%,46,43,47,47
0xa88800cd213da5ae406ce248380802bd53b47647,16246527,19759709,405052695911,4419,139,51.96%,1.88%,3.10%,0.16%,7,7,7,8
0x0010b6e0a2ba72254bc268d8bbcf3877837fdbed,6593307,19759709,399666165286,7440,233,44.74%,2.37%,3.00%,0.11%,13,14,13,12
0x002ad19fb25c6206d6d19e524f363ea846afe4a5,9569113,19759675,398077148604,22537,705,38.09%,1.29%,2.46%,0.06%,21,19,17,15
0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,14232819,17962006,380286987256,17308,541,46.94%,2.16%,3.35%,0.02%,9,8,8,7
0x11b815efb8f581194ae79006d24e0d814b7697f6,12376751,19759709,378169993222,22142,692,33.21%,1.43%,2.96%,0.04%,17,15,16,15
0x00d243649a89654c7ac6fd7cc7c413e8816b8c51,9506558,19759667,374178207066,2240,70,58.39%,1.61%,3.44%,0.09%,5,5,5,4
0x3db52ce065f728011ac6732222270b3f2360d919,16892888,18715213,360390200854,2531,80,40.70%,2.45%,4.54%,0.08%,3,3,3,2
0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,7575719,19758577,353049569645,16851,527,43.68%,1.82%,5.17%,0.12%,36,33,38,42
0x0000006c517ed32ff128b33f137bb4ac31b0c6dd,15651438,19759709,324493398367,2112,66,45.31%,1.85%,4.12%,0.28%,7,8,7,6
0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,14429098,19759111,319296722558,6150,193,37.14%,1.59%,2.65%,0.03%,5,5,5,4
0x00000000005bbb0ef59571e58418f9a4357b68a0,18833397,19759706,318991938606,6737,211,69.53%,0.15%,3.00%,0.03%,6,5,5,4
0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,9003573,13804220,317190679049,15470,484,31.09%,2.59%,3.26%,0.04%,10,10,14,12
0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,18306961,19759709,314741191180,2206,69,43.20%,2.04%,4.31%,0.05%,3,3,3,2
0x28499add335075e20304b18720b2413428989870,8318506,19759706,304206524517,4852,152,52.76%,1.67%,1.96%,0.12%,10,10,11,9
0x6d7812d41a08bc2a910b562d8b56411964a4ed88,14139341,19758948,304206212864,17517,548,35.30%,1.65%,3.50%,0.22%,51,53,51,55
0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,4150250,19271017,303576555678,2313,73,39.30%,1.51%,4.63%,0.13%,6,5,5,5
0xf403c135812408bfbe8713b5a23a04b3d48aae31,12451033,19759676,301308475160,14398,450,34.33%,1.77%,2.78%,0.05%,17,15,15,14
0x0000000000b3f879cb30fe243b4dfee438691c04,4292844,19759573,300127625242,4701,147,51.05%,2.51%,2.62%,0.09%,6,5,5,4
0x29469395eaf6f95920e59f858042f0e28d98a20b,17163339,19759707,298928161186,658,21,37.84%,2.43%,4.86%,0,0,0,0,0
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,10415411,19759708,297483633333,3435,108,50.77%,1.22%,3.41%,0.09%,6,5,5,5
0x00ee7423162d312a5c3bba6c4c7d8332c4d20f2c,9241323,19759080,295645522259,8057,252,38.48%,1.60%,2.82%,0.16%,21,20,18,20
0x5f6ae08b8aeb7078cf2f96afb089d7c9f51da47d,17603911,19759708,294687829437,792,25,51.01%,2.02%,4.04%,0,0,0,0,0
0x000000000022400c83143438100945e373c57f35,12610174,19759709,286134812793,171,6,60.82%,6.43%,1.17%,0,0,0,0,0
0xba12222222228d8ba445958a75a0704d566bf2c8,12272148,19759708,284509917476,24512,766,31.68%,2.14%,5.01%,0.10%,44,48,52,48
0x39755357759ce0d7f32dc8dc45414cca409ae24e,7183779,17690666,283674151789,13132,411,35.51%,2.31%,3.38%,0.03%,10,9,9,8
0x69f4d1788e39c87893c980c06edf4b7f686e2938,12578323,19759709,283382360674,22958,718,52.07%,1.70%,1.81%,0.05%,25,23,22,19
0x56e7d4520abfecf10b38368b00723d9bd3c21ee1,7582079,19758577,283192922824,24537,767,46.57%,1.14%,4.48%,0.09%,32,34,31,27
0xa0c68c638235ee32657e8f720a23cec1bfc77c77,10735438,19759683,281295334081,2949,93,50.39%,1.36%,2.34%,0.07%,5,4,4,3
0x111111125434b319222cdbf8c261674adb56f3ae,11190804,18332761,281266018673,9887,309,55.90%,1.11%,2.95%,0.02%,5,4,4,3
0x39da41747a83aee658334415666f3ef92dd0d541,15221121,19759528,280204958794,14571,456,32.90%,2.68%,3.98%,0.07%,22,22,22,19
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,12525700,19759709,279244259731,2092,66,43.12%,1.24%,3.59%,0.29%,7,8,7,7
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,16366770,19759704,275161057874,18652,583,54.20%,1.44%,3.00%,0.03%,11,13,12,10
0x6090a6e47849629b7245dfa1ca21d94cd15878ef,3648565,19715733,270599032239,9991,313,28.55%,1.67%,4.02%,0.21%,31,30,32,31
0x05060f5ab3e7a98e180b418a96ffc82a85b115e7,11797932,19759706,269184790153,1581,50,46.11%,1.58%,3.86%,0.38%,7,8,7,7
0x0b9857ae2d4a3dbe74ffe1d7df045bb7f96e4840,15016829,19759709,259648895178,2147,68,44.29%,1.82%,4.24%,0.28%,9,8,7,6
0x11111254369792b2ca5d084ab5eea397ca8fa48b,8638437,18119624,250332831191,12681,397,34.24%,2.36%,4.99%,0.02%,6,5,5,6
0x00000000000001ad428e4906ae43d8f9852d0dd6,16655974,19587666,247690107698,24389,763,42.88%,0.90%,4.31%,0.10%,36,38,35,31
0x9008d19f58aabd9ed0d60971565aa8510560ab41,12959355,19759707,242749269373,16165,506,48.67%,1.24%,2.99%,0.04%,13,13,12,12
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,9380415,19759708,239422096343,5346,168,52.97%,2.45%,1.91%,0.04%,3,3,3,2
0x5fa60726e62c50af45ff2f6280c468da438a7837,17628505,19759708,236219015502,23811,745,47.87%,1.66%,3.04%,0.09%,33,35,34,34
0x3ee18b2214aff97000d974cf647e7c347e8fa585,13140625,19759704,235395266482,680,22,41.03%,2.21%,4.56%,0,0,0,0,0
0x00ad8ebf64f141f1c81e9f8f792d3d1631c6c684,11362821,19759484,232105946734,1779,56,46.26%,2.02%,3.49%,0.06%,3,3,3,2
0x881d4032abe4188e2237efcd27ab435e81fc6bb1,13089493,19758005,227827008454,2532,80,33.53%,2.76%,3.00%,0.04%,3,3,3,2
0x3caca7b48d0573d793d3b0279b5f0029180e83b6,12107618,19759678,226582099236,5483,172,39.30%,2.04%,2.54%,0,0,0,0,0
0x4d73adb72bc3dd368966edd0f0b2148401a178e2,15479774,19759705,225793840265,22613,707,49.85%,1.25%,2.80%,0.11%,39,38,41,37
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,7710675,19759705,218756039891,1499,47,38.29%,1.93%,3.27%,0.20%,5,7,6,6
0x0d53497746e70c8cc2e5e8d2ac5f0a33f93c9353,13233206,17191096,218708837043,5376,168,56.03%,1.34%,3.05%,0.02%,3,3,3,2
