example address,earliest block,latest block,gas used,code length,code chunks,push bytes,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,17000008,19824404,101767804117,12141,380,32.99%,3.81%,0.04%,10,9,9,12
0x3c11f6265ddec22f4d049dde480615735f451646,17181196,19824417,101168292808,7222,226,53.77%,2.70%,0.01%,3,3,3,3
0x3a23f943181408eac424116af7b7790c94cb97a5,17000914,19824404,98279803466,24305,760,59.98%,2.76%,0.21%,75,84,80,92
0x135dda560e946695d6f155dacafc6f1f25c1f5af,17445568,19824417,97024800836,2151,68,44.96%,4.14%,0.37%,11,12,12,10
0x881d4032abe4188e2237efcd27ab435e81fc6bb1,17000036,19815512,91645288273,2532,80,33.53%,3.00%,0.04%,3,3,3,2
0x6982508145454ce325ddbe47a25d4ec3d2311933,17046152,19824415,91247403761,4517,142,40.45%,4.32%,0.15%,9,8,7,7
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,17000007,19824412,88732539289,20989,656,34.12%,2.86%,0.22%,46,43,47,47
0x39da41747a83aee658334415666f3ef92dd0d541,17000004,19823881,87344239732,14571,456,32.90%,3.98%,0.07%,22,22,22,20
0x16938e4b59297060484fa56a12594d8d6f4177e8,17326991,19419531,86147916433,12083,378,38.01%,4.04%,0.04%,9,9,8,8
0x64b761d848206f447fe2dd461b0c635ec39ebb27,17000010,19824407,84674373269,2400,75,58.33%,3.54%,0.04%,3,3,3,2
0x00907f9921424583e7ffbfedf84f92b7b2be4977,17000010,19824407,82864697731,2400,75,58.33%,3.54%,0.04%,3,3,3,2
0x150f94b44927f078737562f0fcf3c95c01cc2376,17000008,19824395,81578484303,2254,71,43.88%,2.97%,0.09%,3,3,3,2
0x308861a430be4cce5502d0a12724771fc6daf216,17664318,19824417,81102763410,845,27,51.83%,3.91%,0,0,0,0,0
0x6d596fdfd3381ebb5ecd526ebcaec8cc2ba019ff,17970981,19824321,80367466146,5589,175,38.15%,2.99%,0.04%,3,3,3,3
0xa0425d71cb1d6fb80e65a5361a04096e0672de03,18715403,19527755,79581166749,3634,114,56.88%,3.14%,0.03%,2,2,2,2
0x0586cfc19dbf0894a7ab0949b7c0cde1608d126c,17000011,19824415,79055809410,7440,233,44.74%,3.00%,0.11%,13,14,13,12
0x00000000000001ad428e4906ae43d8f9852d0dd6,17000000,19821327,78820696008,24389,763,42.88%,4.31%,0.10%,36,38,35,33
0x1715a3e4a142d8b698131108995174f37aeba10d,17264183,19824411,78389407325,1222,39,34.62%,4.42%,0,0,0,0,0
0x17144556fd3424edc8fc8a4c940b2d04936d17eb,17266004,19824416,77767652480,23361,731,39.66%,3.15%,0.09%,33,33,33,33
0x1111111254fb6c44bac0bed2854e76f90643097d,17000004,19824386,76659102092,21203,663,56.09%,2.85%,0.08%,21,22,23,23
0xb48eb8368c9c6e9b0734de1ef4ceb9f484b80b9c,17608484,19824360,75004593252,3371,106,46.10%,3.62%,0.15%,6,8,7,7
0xe66b31678d6c16e9ebf358268a790b763c133750,17000000,19824301,74166812297,7751,243,57.84%,3.04%,0.05%,7,8,7,8
0x6000da47483062a0d734ba3dc7576ce6a0b645c4,17780843,19824417,72167547035,12317,385,46.98%,2.83%,0.06%,17,17,15,15
0xd4416b13d2b3a9abae7acd5d6c2bbdbe25686401,17001255,19824416,69318366477,24389,763,40.50%,3.27%,0.11%,32,32,34,32
0xc0bef2d373a1efade8b952f33c1370e486f209cc,17000844,19824405,68458443504,22809,713,33.20%,4.08%,0.07%,25,25,25,23
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,17000017,19824416,68293367992,12567,393,57.68%,2.94%,0.09%,14,14,14,12
0x0000733ce91d1a320c1b9be3d9adf7209ac447d1,17000044,19824358,67630468269,2172,68,31.40%,2.81%,0.05%,2,2,2,2
0x49048044d57e1c92a77f79988d21fa8faf74e97e,17482144,19824415,66071242985,2096,66,61.21%,3.20%,0.05%,3,3,3,2
0x11950d141ecb863f01007add7d1a342041227b58,17083569,19824410,62224571157,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0xb8901acb165ed027e32754e0ffe830802919727f,17000001,19824415,61987642500,18447,577,54.07%,2.95%,0.03%,11,10,9,10
0x920db6c38cf5a2a12554e812d4b3ac2daa8eba4d,17000007,19824414,59989872607,4852,152,52.76%,1.96%,0.12%,10,10,11,9
0xa62f9c5af106feee069f38de51098d9d81b90572,18203856,19824417,58305139674,10584,331,39.74%,3.80%,0.21%,35,38,42,40
0x0345173a92742e9daf55d44ac65e0d987b22379e,17431088,19824416,57588069232,708,23,40.11%,4.66%,0,0,0,0,0
0x0000000000c2d145a2526bd8c716263bfebe1a72,17000018,19824411,55021944321,3884,122,53.89%,3.91%,0.05%,5,4,5,4
0x180c77ae51a9c505a43a2c7d81f8ce70cacb93a6,17423158,19824417,53749502360,2055,65,61.17%,3.26%,0.05%,3,3,3,2
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,18447292,19824404,53715351342,24073,753,34.15%,4.67%,0.10%,40,42,39,37
0x1f98431c8ad98523631ae4a59f267346ea31f984,17000125,19824360,53372315223,24535,767,33.21%,2.91%,0.05%,22,22,21,20
0x1066cecc8880948fe55e427e94f1ff221d626591,17000003,19824410,51184364347,5766,181,32.81%,3.43%,0.28%,18,19,22,21
0x311bb771e4f8952e6da169b425e7e92d6ac45756,17000010,19824360,50454441758,1779,56,46.26%,3.49%,0.06%,3,3,3,2
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,17000003,19824416,50131529544,10542,330,54.23%,2.17%,0.05%,7,7,7,6
0xc8c10815be32536685d12ce8305425163f0c6897,17191097,19824415,48796400611,24030,751,49.19%,3.19%,0.14%,42,42,40,40
0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,18783777,19824371,48499863071,2451,77,35.50%,3.59%,0.29%,7,7,8,10
0xf403c135812408bfbe8713b5a23a04b3d48aae31,17000012,19824404,48217886501,14398,450,34.33%,2.78%,0.05%,17,15,15,15
0x101816545f6bd2b1076434b54383a1e633390a2e,17000008,19824395,48031205659,17626,551,41.69%,3.35%,0.06%,17,15,15,16
0x111111125421ca6dc452d289314280a0f8842a65,19212936,19824416,47719345276,24294,760,41.73%,4.77%,0.16%,55,54,52,54
0x5fb30336a8d0841cf15d452afa297cb6d10877d7,17482145,19824415,47302683730,22112,691,59.64%,2.25%,0.05%,21,23,23,20
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,17000016,19824416,47187356454,2092,66,42.93%,3.59%,0.29%,7,8,7,7
0x514910771af9ca656af840dff83e8264ecf986ca,17000000,19824412,47127212647,3153,99,31.65%,3.87%,0.29%,10,9,9,9
0x25e821b7197b146f7713c3b89b6a4d83516b912d,17174442,19823717,46919398102,845,27,51.60%,3.91%,0,0,0,0,0
0x00133894e6f35924e2917d77336a9be2c6601004,17000009,19824301,46541668557,45,2,46.67%,2.22%,0,0,0,0,0
0x231b0ee14048e9dccd1d247744d114a4eb5e8e63,17000001,19824416,46441051921,12336,386,36.49%,3.82%,0.03%,9,9,8,9
0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d,17000047,19824413,45989212263,4160,130,40.70%,2.55%,0.05%,5,4,4,4
0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,17000005,19824416,45952094605,2092,66,43.12%,3.59%,0.29%,7,8,7,7
0x03f34be1bf910116595db1b11e9d1b2ca5d59659,17000009,19824288,45008243866,1612,51,47.08%,3.85%,0.06%,3,3,3,2
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,18431549,19824416,44707522177,4970,156,42.82%,3.44%,0.10%,6,8,7,7
0x4f4495243837681061c4743b74b3eedf548d56a5,17000006,19824404,44437809032,1205,38,35.10%,4.56%,0,0,0,0,0
0x0439e60f02a8900a951603950d8d4527f400c3f1,18143003,19824416,44231736345,6000,188,56.10%,3.23%,0.05%,6,5,5,4
